NCES District ID,LEA Name,Fips State Code,State Abbreviation,Average Number of Students in a Grade-Subject-Year,Average Number of Students in a Gender-Grade-Subject-Year,EB Male-Female Math Achievement Gap (SD Units),EB Male-Female ELA Achievement Gap (SD Units),EB Standard Error of Male-Female Math Achievement Gap (SD Units),EB Standard Error of Male-Female ELA Achievement Gap (SD Units),EB Male-Female Math Achievement Gap (Grade Equivalent Units),EB Male-Female ELA Achievement Gap (Grade Equivalent Units),EB Standard Error of Male-Female Math Achievement Gap (Grade Equivalent Units),EB Standard Error of Male-Female ELA Achievement Gap (Grade Equivalent Units),SES Composite - All Adults,SES Composite - Female Adults,SES Composite - Male Adults,Male-Female SES Composite Difference,Income at 50th percentile - All Adults,Income at 50th percentile - Female Adults,Income at 50th percentile - Male Adults,Male-Female Income V-Gap,Percent of Black Students in District,Percent of Hispanic Students in District,Percent of Other Race Students in District,Percent of White Students in District,Reliable District Gap Estimate; District has >200 Male/Female Students per Grade
100600,Chambers County,1,AL,295,148,0.001,-0.236,0.018,0.021,0.000,-0.735,0.053,0.067,-1.240,-1.602,-0.859,0.743,44999,21280,27302,0.298,0.475,0.014,0.005,0.506,0
100630,Cherokee County,1,AL,318,159,-0.046,-0.315,0.018,0.021,-0.140,-0.984,0.053,0.067,-1.088,-1.932,-0.353,1.578,48055,19390,33629,0.603,0.055,0.012,0.072,0.860,0
100660,Chilton County,1,AL,605,303,0.017,-0.244,0.017,0.020,0.044,-0.758,0.049,0.061,-0.892,-1.542,-0.317,1.225,42651,20753,33959,0.561,0.121,0.101,0.005,0.774,1
100690,Choctaw County,1,AL,135,67,-0.043,-0.267,0.022,0.026,-0.140,-0.828,0.064,0.081,-1.518,-2.137,-0.899,1.238,33749,18297,29282,0.469,0.651,0.008,0.003,0.339,0
100720,Clarke County,1,AL,239,119,-0.067,-0.308,0.019,0.022,-0.206,-0.960,0.056,0.070,-1.740,-2.411,-1.024,1.387,29848,18532,34514,0.593,0.642,0.008,0.005,0.345,0
100750,Clay County,1,AL,161,81,0.041,-0.202,0.020,0.024,0.107,-0.628,0.059,0.075,-1.136,-1.599,-0.733,0.866,45454,22785,29949,0.362,0.199,0.040,0.004,0.757,0
100780,Cleburne County,1,AL,199,100,-0.001,-0.262,0.020,0.024,-0.011,-0.821,0.060,0.075,-1.290,-1.847,-0.734,1.113,41875,16715,29755,0.526,0.049,0.021,0.001,0.929,0
100810,Coffee County,1,AL,157,79,0.041,-0.221,0.022,0.025,0.108,-0.684,0.063,0.080,-0.592,-1.193,0.010,1.204,51923,19504,34016,0.583,0.053,0.015,0.023,0.910,0
100840,Colbert County,1,AL,209,104,0.039,-0.220,0.021,0.024,0.106,-0.682,0.060,0.075,-0.935,-1.502,-0.391,1.110,44106,20379,33584,0.436,0.115,0.027,0.010,0.848,0
100870,Conecuh County,1,AL,119,60,-0.029,-0.247,0.022,0.026,-0.094,-0.768,0.064,0.080,-1.939,-2.300,-1.535,0.764,26718,17320,31972,0.500,0.831,0.003,0.001,0.164,0
100900,Coosa County,1,AL,90,45,-0.050,-0.299,0.023,0.027,-0.145,-0.931,0.067,0.085,-1.284,-1.541,-1.069,0.471,42500,19002,27952,0.414,0.444,0.018,0.002,0.535,0
100930,Covington County,1,AL,241,121,-0.014,-0.286,0.021,0.024,-0.052,-0.890,0.060,0.076,-0.824,-1.306,-0.376,0.930,45625,18134,27274,0.517,0.063,0.007,0.007,0.923,0
100960,Crenshaw County,1,AL,172,86,-0.031,-0.288,0.021,0.024,-0.100,-0.900,0.060,0.076,-0.821,-1.540,-0.170,1.370,46029,16120,27902,0.568,0.322,0.017,0.015,0.646,0
100990,Cullman City,1,AL,233,117,0.084,-0.195,0.023,0.028,0.249,-0.599,0.069,0.086,-0.645,-1.044,-0.268,0.776,42569,19815,28605,0.399,0.007,0.076,0.013,0.904,0
101020,Cullman County,1,AL,753,376,0.064,-0.200,0.017,0.020,0.179,-0.620,0.050,0.063,-0.907,-1.513,-0.314,1.199,50233,19130,29884,0.416,0.014,0.055,0.006,0.925,1
101050,Dale County,1,AL,238,119,0.023,-0.238,0.020,0.023,0.057,-0.736,0.057,0.072,-0.869,-1.664,-0.074,1.590,48699,18820,33920,0.634,0.164,0.022,0.009,0.805,0
101080,Daleville City,1,AL,89,45,-0.062,-0.325,0.024,0.028,-0.184,-1.012,0.070,0.089,-0.541,-1.300,0.152,1.452,46406,17219,32745,0.549,0.355,0.112,0.021,0.511,0
101110,Dallas County,1,AL,282,141,-0.062,-0.284,0.019,0.022,-0.191,-0.884,0.055,0.069,-1.699,-2.165,-1.238,0.927,29890,17122,27125,0.372,0.762,0.004,0.001,0.233,0
101140,Dekalb County,1,AL,693,347,0.039,-0.211,0.017,0.019,0.107,-0.655,0.049,0.061,-1.388,-1.840,-0.913,0.927,40051,18524,27066,0.395,0.010,0.225,0.131,0.634,1
101170,Decatur City,1,AL,641,321,0.031,-0.209,0.017,0.020,0.084,-0.648,0.050,0.062,-0.488,-1.113,0.189,1.302,49422,20210,29659,0.485,0.336,0.196,0.016,0.452,1
101200,Demopolis City,1,AL,181,90,-0.030,-0.289,0.022,0.026,-0.086,-0.898,0.063,0.080,-0.903,-1.399,-0.369,1.030,49166,20986,37140,0.512,0.485,0.027,0.008,0.480,0
101230,Dothan City,1,AL,715,357,0.005,-0.239,0.018,0.021,0.006,-0.745,0.052,0.065,-0.488,-1.067,0.144,1.211,39999,20434,33594,0.521,0.555,0.034,0.017,0.394,1
101260,Elba City,1,AL,57,29,0.019,-0.195,0.027,0.032,0.048,-0.604,0.078,0.099,-1.966,-2.005,-1.795,0.209,30100,17798,20217,0.150,0.461,0.033,0.012,0.494,0
101290,Elmore County,1,AL,844,422,0.052,-0.199,0.016,0.019,0.142,-0.613,0.047,0.059,-0.388,-0.781,0.030,0.810,56958,22872,36348,0.465,0.260,0.026,0.011,0.702,1
101320,Enterprise City,1,AL,502,251,0.062,-0.204,0.019,0.022,0.180,-0.635,0.054,0.068,-0.178,-1.137,0.727,1.864,49558,21188,37896,0.580,0.233,0.094,0.024,0.649,1
101350,Escambia County,1,AL,356,178,-0.019,-0.264,0.018,0.022,-0.065,-0.819,0.053,0.067,-1.778,-1.894,-1.611,0.283,34942,18422,28040,0.395,0.414,0.011,0.059,0.517,0
101380,Etowah County,1,AL,711,355,0.046,-0.222,0.017,0.019,0.130,-0.687,0.048,0.061,-0.640,-1.183,-0.137,1.046,55714,21362,33320,0.500,0.027,0.027,0.012,0.934,1
101410,Eufaula City,1,AL,203,102,-0.011,-0.243,0.020,0.023,-0.036,-0.753,0.057,0.072,-1.131,-1.822,-0.307,1.515,34027,16219,24763,0.461,0.555,0.038,0.011,0.396,0
101440,Fairfield City,1,AL,146,73,-0.100,-0.300,0.023,0.026,-0.299,-0.934,0.065,0.083,-0.893,-1.040,-0.728,0.312,32142,19063,23758,0.109,0.985,0.011,0.001,0.002,0
101470,Fayette County,1,AL,187,93,0.006,-0.244,0.020,0.024,0.007,-0.757,0.060,0.075,-1.264,-1.566,-0.859,0.707,45781,18077,29808,0.417,0.144,0.006,0.004,0.846,0
101530,Florence City,1,AL,317,158,0.012,-0.241,0.020,0.023,0.031,-0.755,0.057,0.071,-0.998,-1.382,-0.578,0.804,33690,16521,24336,0.409,0.372,0.065,0.011,0.552,0
101560,Fort Payne City,1,AL,229,115,0.058,-0.193,0.020,0.023,0.168,-0.602,0.057,0.072,-0.559,-1.157,0.128,1.285,34234,19726,27588,0.523,0.046,0.338,0.008,0.607,0
101590,Franklin County,1,AL,245,123,0.033,-0.230,0.021,0.025,0.089,-0.715,0.061,0.077,-0.951,-1.309,-0.607,0.702,49721,19213,27677,0.401,0.010,0.098,0.004,0.889,0
101620,Gadsden City,1,AL,403,202,-0.034,-0.273,0.018,0.021,-0.108,-0.852,0.052,0.066,-1.693,-2.054,-1.294,0.760,29778,19094,24823,0.323,0.492,0.088,0.008,0.411,1
101640,Geneva City,1,AL,95,48,0.024,-0.242,0.024,0.028,0.063,-0.753,0.069,0.087,-1.365,-1.670,-1.069,0.601,41200,20295,21482,0.140,0.126,0.017,0.003,0.854,0
