NCES District ID,LEA Name,Fips State Code,State Abbreviation,Average Number of Students in a Grade-Subject-Year,Average Number of Students in a Gender-Grade-Subject-Year,EB Male-Female Math Achievement Gap (SD Units),EB Male-Female ELA Achievement Gap (SD Units),EB Standard Error of Male-Female Math Achievement Gap (SD Units),EB Standard Error of Male-Female ELA Achievement Gap (SD Units),EB Male-Female Math Achievement Gap (Grade Equivalent Units),EB Male-Female ELA Achievement Gap (Grade Equivalent Units),EB Standard Error of Male-Female Math Achievement Gap (Grade Equivalent Units),EB Standard Error of Male-Female ELA Achievement Gap (Grade Equivalent Units),SES Composite - All Adults,SES Composite - Female Adults,SES Composite - Male Adults,Male-Female SES Composite Difference,Income at 50th percentile - All Adults,Income at 50th percentile - Female Adults,Income at 50th percentile - Male Adults,Male-Female Income V-Gap,Percent of Black Students in District,Percent of Hispanic Students in District,Percent of Other Race Students in District,Percent of White Students in District,Reliable District Gap Estimate; District has >200 Male/Female Students per Grade
2004980,Coffeyville,20,KS,130,65,0.078,-0.157,0.021,0.024,0.224,-0.490,0.059,0.075,-0.832,-1.434,-0.205,1.228,48213.645,16606.500,25339.268,0.327,0.129,0.149,0.115,0.607,0
2005010,Colby Public Schools,20,KS,65,32,0.048,-0.206,0.025,0.030,0.137,-0.646,0.072,0.093,0.103,-0.405,0.667,1.073,64583.027,17148.420,27906.395,0.376,0.007,0.055,0.010,0.928,0
2005070,Columbus,20,KS,79,40,0.095,-0.162,0.023,0.027,0.277,-0.505,0.066,0.084,-0.799,-1.360,-0.180,1.180,41110.891,15889.645,29383.180,0.685,0.015,0.029,0.057,0.900,0
2005100,Concordia,20,KS,78,39,0.068,-0.203,0.023,0.027,0.201,-0.636,0.067,0.085,-0.611,-1.287,0.128,1.415,48332.668,13816.140,27974.520,0.577,0.013,0.048,0.021,0.918,0
2005130,Conway Springs,20,KS,52,26,0.027,-0.243,0.034,0.040,0.078,-0.750,0.096,0.125,0.362,-0.521,1.024,1.546,67037.992,14243.488,40491.703,0.808,0.005,0.032,0.012,0.951,0
2005280,Morris County,20,KS,60,30,0.053,-0.224,0.026,0.030,0.155,-0.694,0.073,0.094,0.221,-0.307,0.683,0.990,45499.898,19595.316,29518.326,0.477,0.005,0.078,0.004,0.913,0
2005460,Derby,20,KS,482,241,0.041,-0.215,0.017,0.019,0.119,-0.673,0.048,0.061,0.582,-0.195,1.402,1.597,68134.070,26348.758,41940.145,0.540,0.049,0.127,0.059,0.765,1
2005490,De Soto,20,KS,537,268,0.059,-0.235,0.017,0.019,0.160,-0.734,0.048,0.061,1.781,1.033,2.526,1.492,100711.352,38011.367,53625.258,0.472,0.030,0.082,0.032,0.856,1
2005580,Dodge City,20,KS,447,223,0.049,-0.175,0.017,0.020,0.136,-0.553,0.049,0.062,-0.376,-0.840,0.002,0.842,50624.938,20657.236,28463.268,0.492,0.017,0.791,0.020,0.171,1
2005610,Douglass Public Schools,20,KS,58,29,0.063,-0.205,0.027,0.031,0.182,-0.640,0.076,0.099,0.478,-0.272,1.214,1.486,64928.242,25783.742,35749.852,0.579,0.004,0.030,0.013,0.952,0
2005640,Easton,20,KS,54,27,0.080,-0.174,0.027,0.032,0.231,-0.541,0.078,0.100,0.073,-0.662,0.779,1.441,79210.359,22267.135,41267.352,0.658,0.002,0.012,0.009,0.977,0
2005700,Atchison Co Comm Schools,20,KS,52,26,-0.011,-0.265,0.030,0.036,-0.042,-0.824,0.087,0.112,0.141,-0.116,0.330,0.446,49499.098,21132.359,34556.379,0.676,0.007,0.018,0.010,0.965,0
2005730,El Dorado,20,KS,142,71,0.034,-0.196,0.020,0.023,0.092,-0.609,0.057,0.073,-0.661,-0.553,-0.746,-0.193,47367.945,17430.131,30472.129,0.383,0.025,0.058,0.017,0.900,0
2005790,Elkhart,20,KS,51,25,0.017,-0.243,0.034,0.040,0.047,-0.754,0.098,0.127,0.174,-0.506,0.775,1.282,54999.500,20609.512,31405.969,0.436,0.008,0.178,0.034,0.780,0
2005800,Ell-Saline,20,KS,43,21,0.086,-0.189,0.039,0.046,0.253,-0.585,0.113,0.143,0.703,0.207,1.197,0.990,68624.422,24962.250,37678.035,0.616,0.008,0.045,0.029,0.918,0
2005870,Ellsworth,20,KS,50,25,0.032,-0.200,0.029,0.034,0.088,-0.625,0.084,0.107,-0.369,-0.573,-0.122,0.451,49399.117,19514.498,30815.627,0.463,0.008,0.066,0.010,0.916,0
2005940,Emporia,20,KS,307,154,0.016,-0.235,0.018,0.021,0.041,-0.739,0.051,0.064,-0.963,-1.458,-0.452,1.006,37624.477,14243.313,22032.654,0.361,0.029,0.452,0.033,0.486,0
2006000,Erie,20,KS,45,22,0.035,-0.208,0.036,0.042,0.101,-0.639,0.103,0.132,0.018,-0.105,0.129,0.234,43332.664,20967.355,30547.510,0.383,0.012,0.035,0.012,0.941,0
2006060,Mission Valley,20,KS,47,23,0.021,-0.247,0.039,0.045,0.058,-0.764,0.111,0.142,-0.025,-0.802,0.584,1.387,57399.262,19115.732,32607.006,0.460,0.005,0.046,0.008,0.940,0
2006090,Eudora,20,KS,114,57,0.050,-0.234,0.021,0.025,0.129,-0.729,0.060,0.077,1.102,0.447,1.785,1.338,55454.000,28787.121,38982.254,0.503,0.009,0.054,0.025,0.911,0
2006120,Eureka,20,KS,49,25,0.054,-0.188,0.029,0.034,0.143,-0.584,0.084,0.106,-1.201,-1.439,-0.820,0.619,53636.000,14733.954,30669.801,0.554,0.007,0.053,0.013,0.927,0
2006180,Fort Scott,20,KS,147,74,-0.006,-0.279,0.020,0.024,-0.015,-0.870,0.059,0.075,-0.518,-0.849,-0.156,0.692,52999.699,18773.684,26975.795,0.320,0.037,0.031,0.023,0.909,0
2006240,Remington-Whitewater,20,KS,44,22,0.042,-0.239,0.036,0.042,0.120,-0.739,0.103,0.132,0.174,-1.125,1.198,2.323,69936.836,19694.244,37993.906,0.793,0.024,0.093,0.039,0.845,0
2006270,Fredonia,20,KS,56,28,0.027,-0.230,0.027,0.032,0.079,-0.718,0.077,0.099,-0.618,-1.111,-0.185,0.926,49320.563,16211.637,23631.623,0.563,0.005,0.037,0.015,0.943,0
2006300,Frontenac Public Schools,20,KS,72,36,0.046,-0.212,0.023,0.028,0.124,-0.657,0.068,0.086,-0.221,0.043,-0.482,-0.525,42499.500,21637.275,25243.855,0.285,0.002,0.028,0.011,0.958,0
2006330,Ft Leavenworth,20,KS,174,87,0.051,-0.209,0.020,0.023,0.146,-0.656,0.057,0.073,-1.410,-1.449,-0.878,0.572,76219.461,17208.938,28729.723,0.644,0.115,0.111,0.046,0.727,0
2006360,Galena,20,KS,60,30,-0.004,-0.255,0.024,0.029,-0.017,-0.792,0.070,0.090,-1.020,-1.598,-0.601,0.997,37142.430,14692.236,31499.701,0.775,0.002,0.054,0.029,0.915,0
2006390,Garden City,20,KS,541,271,0.052,-0.189,0.016,0.019,0.150,-0.594,0.047,0.060,-0.234,-0.758,0.256,1.014,51470.441,21959.264,29212.885,0.383,0.013,0.699,0.049,0.239,1
2006420,Gardner Edgerton,20,KS,380,190,0.086,-0.161,0.017,0.020,0.241,-0.504,0.048,0.062,0.869,0.250,1.431,1.181,73912.867,27127.043,42189.605,0.483,0.031,0.087,0.021,0.862,0
2006450,Garnett,20,KS,82,41,0.063,-0.181,0.023,0.027,0.170,-0.564,0.065,0.083,-0.110,-0.691,0.436,1.127,38999.203,20075.158,30717.346,0.407,0.007,0.025,0.022,0.946,0
2006480,Girard,20,KS,78,39,0.070,-0.187,0.023,0.027,0.194,-0.581,0.067,0.085,0.093,-0.104,0.281,0.384,51818.000,26154.832,30462.871,0.155,0.025,0.038,0.013,0.925,0
2006540,Goddard,20,KS,390,195,0.077,-0.200,0.017,0.020,0.210,-0.627,0.048,0.062,1.333,0.610,1.995,1.385,82684.117,32084.404,51872.055,0.658,0.018,0.078,0.042,0.862,0
2006580,Goodland,20,KS,69,35,0.027,-0.220,0.024,0.028,0.076,-0.689,0.069,0.089,-0.233,-1.157,0.766,1.923,50636.301,18598.852,26338.316,0.223,0.015,0.207,0.009,0.769,0
2006660,Great Bend,20,KS,221,110,0.060,-0.191,0.018,0.022,0.172,-0.596,0.053,0.068,-0.118,-0.717,0.472,1.189,42934.195,18480.621,29189.676,0.520,0.016,0.340,0.009,0.635,0
2006840,Halstead,20,KS,61,31,0.060,-0.207,0.026,0.030,0.167,-0.644,0.074,0.095,0.172,-0.631,0.857,1.488,73624.086,25290.119,41484.551,0.591,0.010,0.078,0.008,0.903,0
2006930,Southern Lyon County,20,KS,45,23,0.019,-0.246,0.034,0.040,0.044,-0.764,0.099,0.126,0.267,-0.083,0.542,0.624,54199.578,22560.951,35852.770,0.615,0.000,0.043,0.000,0.956,0
2006960,Haven Public Schools,20,KS,75,38,0.088,-0.170,0.023,0.027,0.246,-0.532,0.067,0.086,0.164,-0.603,0.862,1.465,55908.504,22044.637,34161.328,0.549,0.011,0.048,0.013,0.928,0
2007020,Hays,20,KS,211,105,0.056,-0.225,0.019,0.022,0.163,-0.705,0.054,0.069,0.149,-0.317,0.558,0.875,68124.461,15572.432,24315.680,0.369,0.013,0.079,0.022,0.886,0
2007050,Haysville,20,KS,377,189,0.055,-0.177,0.017,0.020,0.164,-0.554,0.049,0.062,-0.303,-0.814,0.151,0.965,56022.125,22670.873,35573.055,0.490,0.016,0.119,0.055,0.810,0
2007110,Herington,20,KS,45,23,0.030,-0.234,0.040,0.046,0.084,-0.727,0.115,0.145,-0.758,-1.502,0.025,1.527,43499.297,13719.750,35033.777,0.630,0.012,0.077,0.012,0.899,0
2007170,Hesston,20,KS,65,33,0.120,-0.155,0.025,0.029,0.351,-0.481,0.071,0.091,0.502,-0.424,1.346,1.770,69374.375,16622.486,34758.309,0.549,0.017,0.098,0.024,0.861,0
2007290,Durham-Hillsboro-Lehigh,20,KS,47,23,0.017,-0.256,0.033,0.039,0.042,-0.801,0.096,0.122,0.200,-0.526,0.845,1.371,64874.676,15957.950,21190.000,0.210,0.016,0.067,0.022,0.894,0
2007320,Hoisington,20,KS,52,26,0.044,-0.219,0.029,0.034,0.128,-0.681,0.084,0.107,-0.137,-1.134,0.562,1.695,70874.273,17068.137,29775.164,0.735,0.017,0.050,0.008,0.925,0
2007350,Holcomb,20,KS,74,37,0.060,-0.213,0.023,0.027,0.173,-0.671,0.067,0.086,0.037,-0.624,0.636,1.260,56544.801,21278.559,40301.664,0.877,0.004,0.359,0.010,0.627,0
2007380,Holton,20,KS,76,38,-0.023,-0.289,0.023,0.027,-0.070,-0.900,0.067,0.085,0.037,-0.212,0.339,0.551,59999.000,25044.436,32521.426,0.440,0.017,0.049,0.035,0.899,0
2007470,South Brown County,20,KS,49,25,-0.033,-0.290,0.032,0.037,-0.102,-0.904,0.091,0.116,-0.462,-0.918,0.013,0.930,43124.375,16981.965,24393.773,0.318,0.010,0.064,0.200,0.726,0
2007560,Hugoton Public Schools,20,KS,75,37,0.074,-0.165,0.024,0.028,0.218,-0.517,0.069,0.088,-0.518,-1.212,0.215,1.427,77849.883,23858.152,39346.953,0.814,0.006,0.452,0.018,0.524,0
2007590,Humboldt,20,KS,46,23,-0.031,-0.290,0.031,0.037,-0.092,-0.904,0.090,0.115,0.006,-0.419,0.378,0.797,58362.801,18966.805,33101.230,0.593,0.017,0.048,0.003,0.932,0
2007620,Hutchinson Public Schools,20,KS,355,177,0.031,-0.215,0.017,0.020,0.088,-0.671,0.050,0.064,-0.686,-0.843,-0.488,0.355,35568.066,18278.514,27532.506,0.368,0.052,0.219,0.011,0.719,0
2007650,Independence,20,KS,137,69,0.008,-0.257,0.021,0.024,0.020,-0.804,0.059,0.075,-0.144,-0.790,0.441,1.231,56289.695,18749.500,30355.967,0.492,0.074,0.063,0.050,0.813,0
2007710,Inman,20,KS,41,21,0.075,-0.216,0.041,0.047,0.217,-0.666,0.118,0.148,0.714,-0.110,1.432,1.543,70499.297,22082.500,41562.188,0.796,0.005,0.039,0.039,0.917,0
2007740,Iola,20,KS,99,50,-0.022,-0.288,0.022,0.025,-0.067,-0.897,0.063,0.080,-0.138,-0.626,0.373,0.999,56110.496,20211.664,30343.215,0.404,0.028,0.038,0.020,0.915,0
2007750,Jayhawk,20,KS,44,22,0.068,-0.206,0.036,0.042,0.193,-0.639,0.103,0.131,-0.113,-0.699,0.443,1.142,62454.383,26011.701,27030.844,0.100,0.007,0.029,0.005,0.959,0
2007860,Stanton County,20,KS,43,22,0.046,-0.195,0.039,0.046,0.131,-0.604,0.114,0.144,-0.010,-0.579,0.411,0.990,50857.059,19393.182,30369.244,0.644,0.002,0.468,0.034,0.496,0
2007890,Geary County Schools,20,KS,564,282,0.004,-0.243,0.016,0.019,0.007,-0.760,0.047,0.059,-0.340,-0.925,0.205,1.130,44405.898,20199.273,31521.348,0.563,0.221,0.190,0.034,0.554,1
2007950,Kansas City,20,KS,1462,731,-0.040,-0.211,0.016,0.019,-0.128,-0.671,0.046,0.060,-1.402,-1.667,-1.121,0.547,33362.730,20512.004,26295.049,0.283,0.371,0.440,0.047,0.142,1
2007970,Kaw Valley,20,KS,82,41,0.028,-0.231,0.023,0.027,0.075,-0.719,0.065,0.084,0.249,-0.407,0.791,1.199,64038.191,23015.666,37605.297,0.490,0.027,0.062,0.060,0.851,0
2008070,Kingman - Norwich,20,KS,72,36,0.026,-0.249,0.024,0.028,0.078,-0.779,0.069,0.089,-0.096,-0.834,0.439,1.272,52444.199,17860.967,35706.379,0.757,0.001,0.031,0.011,0.956,0
2008190,Kismet-Plains,20,KS,55,28,0.055,-0.176,0.026,0.030,0.160,-0.554,0.074,0.095,-0.290,-1.144,0.432,1.576,56332.699,22231.250,29203.070,0.485,0.003,0.638,0.004,0.355,0
2008250,Prairie View,20,KS,72,36,0.102,-0.159,0.024,0.028,0.292,-0.491,0.068,0.087,-0.079,-0.945,0.747,1.692,60283.766,23534.742,38923.266,0.509,0.005,0.022,0.011,0.962,0
2008280,Lakin,20,KS,49,25,0.011,-0.229,0.030,0.035,0.032,-0.714,0.086,0.111,-0.121,-0.551,0.393,0.944,37332.867,25823.365,39165.832,0.607,0.010,0.339,0.009,0.642,0
2008340,Lansing,20,KS,190,95,0.077,-0.188,0.019,0.022,0.213,-0.585,0.055,0.070,-0.085,0.364,-0.374,-0.738,92958.469,30984.934,45391.625,0.300,0.066,0.085,0.023,0.826,0
2008370,Ft Larned,20,KS,69,34,0.050,-0.198,0.024,0.028,0.135,-0.614,0.069,0.089,-0.717,-0.244,-1.112,-0.868,51454.402,24300.127,23827.594,-0.230,0.031,0.117,0.007,0.844,0
2008400,Lawrence,20,KS,738,369,0.022,-0.251,0.016,0.019,0.057,-0.787,0.046,0.059,0.107,-0.305,0.519,0.824,66083.516,14875.286,20510.152,0.229,0.081,0.085,0.100,0.733,1
2008430,Leavenworth,20,KS,232,116,-0.014,-0.245,0.019,0.022,-0.048,-0.762,0.054,0.069,-0.382,-0.690,-0.069,0.621,46442.020,22105.580,30709.648,0.293,0.220,0.101,0.021,0.658,0
2008550,Bluestem,20,KS,47,23,0.064,-0.194,0.038,0.044,0.189,-0.601,0.109,0.140,0.044,-0.901,0.738,1.639,63374.777,17061.676,41241.250,0.758,0.016,0.063,0.012,0.909,0
2008730,Liberal,20,KS,344,172,0.031,-0.198,0.017,0.020,0.086,-0.622,0.050,0.064,-0.813,-1.122,-0.529,0.593,46437.211,19070.316,26578.953,0.380,0.026,0.741,0.038,0.195,0
2008970,Louisburg,20,KS,129,65,0.076,-0.215,0.020,0.023,0.219,-0.669,0.057,0.073,0.516,-0.333,1.348,1.681,81596.961,21619.723,49612.711,0.610,0.004,0.041,0.014,0.941,0
2009000,Lyndon,20,KS,47,23,0.005,-0.264,0.039,0.046,0.005,-0.818,0.114,0.145,0.201,0.154,0.251,0.098,64178.293,21759.500,36151.457,0.598,0.007,0.027,0.005,0.960,0
2009030,Lyons,20,KS,55,28,0.067,-0.174,0.026,0.031,0.190,-0.552,0.075,0.096,-0.459,-0.858,-0.055,0.803,47499.500,18108.730,26334.479,0.554,0.011,0.352,0.013,0.624,0
2009140,Maize,20,KS,516,258,0.104,-0.183,0.016,0.019,0.296,-0.571,0.047,0.060,1.414,0.401,2.441,2.040,95066.766,30609.635,55982.980,0.710,0.029,0.096,0.052,0.823,1
2009180,Manhattan-Ogden,20,KS,428,214,0.057,-0.205,0.017,0.020,0.161,-0.645,0.049,0.062,-0.263,-0.753,0.173,0.927,61925.547,11443.490,18485.396,0.301,0.096,0.124,0.052,0.728,1
2009240,Marion-Florence,20,KS,46,23,0.081,-0.176,0.032,0.038,0.244,-0.540,0.093,0.119,-0.057,-0.253,0.178,0.431,58999.098,22837.166,34165.832,0.370,0.008,0.026,0.013,0.953,0
2009320,Royal Valley,20,KS,68,34,0.064,-0.217,0.025,0.029,0.189,-0.673,0.071,0.091,0.176,-0.354,0.665,1.019,56499.352,22092.186,38384.738,0.654,0.021,0.034,0.282,0.663,0
2009360,Mclouth,20,KS,45,22,0.042,-0.220,0.037,0.044,0.121,-0.680,0.108,0.137,0.409,0.136,0.655,0.519,60999.934,24027.166,38840.695,0.336,0.014,0.036,0.013,0.937,0
2009390,Mcpherson,20,KS,170,85,0.065,-0.143,0.019,0.023,0.185,-0.445,0.055,0.071,0.514,-0.235,1.208,1.443,68035.180,19880.805,39564.879,0.648,0.021,0.078,0.016,0.885,0
2009420,Meade,20,KS,42,21,0.041,-0.223,0.039,0.046,0.118,-0.694,0.114,0.144,0.286,-0.615,1.244,1.859,64249.719,20147.000,41281.793,0.597,0.003,0.077,0.002,0.919,0
2009510,Jefferson West,20,KS,67,33,0.066,-0.185,0.024,0.028,0.198,-0.581,0.069,0.088,1.102,0.530,1.687,1.157,72749.148,29570.846,43457.641,0.649,0.016,0.029,0.016,0.940,0
2009570,North Ottawa County,20,KS,52,26,0.080,-0.163,0.031,0.036,0.225,-0.504,0.088,0.113,-0.069,-0.151,0.027,0.178,43124.375,20077.129,29841.375,0.293,0.019,0.032,0.015,0.934,0
2009840,Mulvane,20,KS,134,67,0.072,-0.189,0.019,0.023,0.201,-0.588,0.056,0.072,0.515,-0.232,1.138,1.370,73927.641,22398.676,41891.887,0.562,0.013,0.049,0.021,0.917,0
2009900,Neodesha,20,KS,54,27,-0.001,-0.250,0.026,0.031,-0.012,-0.782,0.075,0.097,-1.046,-1.263,-0.753,0.510,41499.699,19729.877,29608.453,0.400,0.011,0.035,0.019,0.935,0
2009960,Newton,20,KS,247,124,0.047,-0.210,0.019,0.022,0.124,-0.651,0.053,0.068,0.119,-0.465,0.712,1.178,61538.359,19511.391,31906.398,0.440,0.027,0.288,0.017,0.668,0
2009990,Nickerson,20,KS,88,44,0.084,-0.174,0.022,0.026,0.249,-0.541,0.064,0.082,0.038,-0.572,0.596,1.168,54791.188,20573.898,31889.865,0.537,0.021,0.104,0.014,0.861,0
2010020,Norton Community Schools,20,KS,61,31,-0.001,-0.251,0.030,0.035,-0.014,-0.779,0.087,0.111,-0.308,0.119,-0.556,-0.675,59699.027,22854.025,27847.025,0.250,0.013,0.020,0.009,0.957,0
2010140,Olathe,20,KS,2071,1035,0.051,-0.230,0.015,0.017,0.139,-0.719,0.043,0.055,1.514,0.679,2.374,1.695,89159.742,30427.063,46211.414,0.493,0.066,0.132,0.052,0.750,1
2010230,Osage City,20,KS,51,26,0.016,-0.241,0.028,0.033,0.038,-0.757,0.081,0.103,0.024,-0.042,0.071,0.113,68863.047,25048.066,28519.033,0.196,0.010,0.039,0.017,0.934,0
2010260,Osawatomie,20,KS,85,43,0.021,-0.239,0.023,0.026,0.056,-0.739,0.065,0.083,-0.905,-1.439,-0.361,1.078,43586.238,21962.451,29603.246,0.412,0.021,0.036,0.011,0.932,0
2010320,Oskaloosa Public Schools,20,KS,51,26,0.039,-0.234,0.036,0.043,0.119,-0.722,0.105,0.133,0.609,0.198,0.979,0.782,65928.180,22870.223,32560.465,0.159,0.002,0.039,0.015,0.944,0
2010350,Oswego,20,KS,43,22,0.018,-0.247,0.038,0.044,0.049,-0.766,0.108,0.138,-0.597,-0.755,-0.384,0.371,39249.148,20156.188,27135.938,0.176,0.012,0.037,0.019,0.933,0
2010410,Santa Fe Trail,20,KS,81,40,0.043,-0.201,0.023,0.027,0.124,-0.626,0.065,0.084,0.197,-0.179,0.559,0.738,56666.000,22776.205,34530.344,0.463,0.005,0.044,0.020,0.931,0
2010500,Paola,20,KS,149,74,0.029,-0.249,0.020,0.024,0.080,-0.778,0.058,0.074,0.475,0.065,0.895,0.830,66852.992,28488.314,41134.035,0.471,0.022,0.029,0.009,0.940,0
2010560,Parsons,20,KS,89,44,-0.002,-0.248,0.022,0.026,-0.001,-0.773,0.064,0.082,-0.688,-1.115,-0.222,0.893,46999.602,16927.195,28944.078,0.443,0.180,0.099,0.021,0.701,0
2010620,Perry Public Schools,20,KS,67,33,0.075,-0.175,0.024,0.028,0.212,-0.542,0.069,0.088,0.872,0.477,1.232,0.755,74346.867,28565.719,41335.352,0.286,0.007,0.030,0.014,0.949,0
2010650,Phillipsburg,20,KS,50,25,0.088,-0.168,0.029,0.034,0.255,-0.521,0.085,0.107,0.407,-0.408,1.262,1.670,55307.160,22387.934,34175.301,0.654,0.029,0.027,0.022,0.922,0
2010680,Piper-Kansas City,20,KS,134,67,0.037,-0.237,0.020,0.024,0.104,-0.738,0.058,0.074,1.069,0.733,1.390,0.657,105169.289,33698.754,51003.090,0.531,0.208,0.090,0.029,0.674,0
2010710,Pittsburg,20,KS,203,101,0.050,-0.200,0.019,0.022,0.148,-0.624,0.055,0.070,-0.758,-0.926,-0.627,0.299,42166.234,17022.445,21165.691,0.291,0.054,0.143,0.021,0.781,0
2010740,Plainville,20,KS,44,22,0.037,-0.238,0.040,0.047,0.104,-0.738,0.117,0.147,0.003,-0.728,0.686,1.414,40333.266,16029.000,33203.242,0.678,0.014,0.024,0.012,0.950,0
2010800,West Franklin,20,KS,50,25,0.051,-0.203,0.029,0.034,0.143,-0.626,0.082,0.106,-0.052,-0.639,0.459,1.098,49249.152,18289.158,33469.457,0.540,0.006,0.033,0.014,0.948,0
2010890,Pratt,20,KS,76,38,0.043,-0.210,0.023,0.027,0.121,-0.653,0.067,0.085,0.179,-0.441,0.836,1.277,56578.289,17910.420,29699.521,0.412,0.004,0.118,0.005,0.873,0
2011080,Renwick,20,KS,149,74,0.115,-0.161,0.020,0.023,0.337,-0.503,0.057,0.073,1.272,0.392,2.128,1.736,89999.398,28300.309,46827.285,0.584,0.001,0.032,0.007,0.960,0
2011100,Riley County,20,KS,54,27,0.046,-0.228,0.027,0.032,0.119,-0.703,0.079,0.101,1.050,0.284,1.761,1.477,65463.922,24315.311,37463.098,0.638,0.019,0.050,0.017,0.914,0
2011130,Riverton,20,KS,61,31,0.044,-0.217,0.025,0.029,0.124,-0.678,0.072,0.092,-0.486,-1.038,-0.088,0.950,50538.406,16985.021,31249.750,0.830,0.011,0.034,0.089,0.866,0
2011250,Rose Hill Public Schools,20,KS,125,62,0.074,-0.196,0.021,0.024,0.218,-0.609,0.059,0.077,0.964,0.340,1.631,1.291,79749.813,27133.080,48538.023,0.600,0.010,0.052,0.022,0.916,0
2011310,Russell County,20,KS,64,32,0.086,-0.170,0.024,0.028,0.252,-0.529,0.069,0.089,0.000,-0.960,0.860,1.820,54272.301,16577.652,28519.197,0.487,0.030,0.032,0.016,0.922,0
2011370,Salina,20,KS,530,265,0.036,-0.226,0.016,0.019,0.101,-0.702,0.047,0.060,-0.042,-0.453,0.362,0.815,54360.027,19642.936,31053.494,0.487,0.060,0.172,0.037,0.731,1
2011490,Seaman,20,KS,282,141,0.056,-0.213,0.018,0.021,0.161,-0.665,0.051,0.065,0.341,0.165,0.551,0.386,71768.445,27001.592,41581.191,0.489,0.015,0.065,0.020,0.900,0
2011550,Sedgwick Public Schools,20,KS,47,24,0.073,-0.211,0.034,0.040,0.206,-0.654,0.098,0.126,0.622,-0.059,1.155,1.215,55499.445,21809.621,38124.375,0.664,0.001,0.053,0.008,0.939,0
2011640,Shawnee Mission Pub Sch,20,KS,2011,1006,0.039,-0.244,0.015,0.017,0.115,-0.764,0.043,0.055,1.380,0.731,2.084,1.353,75912.367,30628.457,43422.109,0.433,0.093,0.173,0.036,0.699,1
2011700,Silver Lake,20,KS,55,27,0.028,-0.246,0.028,0.033,0.078,-0.763,0.081,0.104,1.227,1.023,1.393,0.369,85356.727,29043.311,41440.391,0.494,0.009,0.033,0.015,0.942,0
2011820,Spearville,20,KS,44,22,0.034,-0.248,0.040,0.046,0.094,-0.771,0.116,0.145,1.037,0.305,1.580,1.275,61799.879,23489.188,32310.145,0.240,0.004,0.094,0.002,0.900,0
2011850,Spring Hill,20,KS,163,81,-0.002,-0.296,0.020,0.023,-0.012,-0.923,0.057,0.073,1.444,0.825,2.043,1.218,84589.172,30787.041,50375.512,0.695,0.019,0.059,0.014,0.908,0
2012000,Blue Valley,20,KS,1667,833,0.099,-0.212,0.015,0.018,0.287,-0.666,0.044,0.055,2.299,0.947,3.702,2.756,126749.930,32524.674,75579.656,0.780,0.032,0.046,0.107,0.815,1
2012030,Sterling,20,KS,45,23,0.092,-0.159,0.036,0.042,0.269,-0.491,0.105,0.133,-0.019,-0.521,0.606,1.127,66230.352,14502.875,23749.500,0.161,0.021,0.048,0.007,0.925,0
2012090,Sublette,20,KS,48,24,0.022,-0.234,0.040,0.047,0.060,-0.725,0.117,0.147,0.110,-0.511,0.576,1.087,63599.758,19511.389,31505.076,0.683,0.004,0.278,0.002,0.715,0
2012150,Syracuse,20,KS,44,22,0.035,-0.237,0.037,0.044,0.100,-0.731,0.108,0.137,0.300,-0.318,0.897,1.215,32499.500,19582.502,28927.785,0.577,0.008,0.481,0.001,0.510,0
2012180,Shawnee Heights,20,KS,267,134,0.024,-0.242,0.018,0.021,0.069,-0.757,0.052,0.066,0.661,0.011,1.333,1.321,65874.609,29546.459,40604.094,0.445,0.061,0.142,0.014,0.782,0
2012210,Tonganoxie,20,KS,145,73,0.011,-0.265,0.020,0.023,0.024,-0.824,0.057,0.073,0.619,0.135,1.070,0.935,75980.352,27391.496,43475.867,0.591,0.007,0.054,0.012,0.927,0
2012260,Topeka Public Schools,20,KS,986,493,-0.000,-0.209,0.016,0.018,-0.005,-0.659,0.045,0.057,-0.652,-0.816,-0.450,0.366,32765.840,21815.719,26360.779,0.268,0.232,0.279,0.028,0.461,1
2012300,Circle,20,KS,139,69,0.064,-0.203,0.020,0.024,0.193,-0.635,0.058,0.075,0.547,-0.325,1.429,1.754,69299.383,22966.480,40890.066,0.568,0.011,0.044,0.026,0.920,0
2012360,Turner-Kansas City,20,KS,277,138,0.036,-0.199,0.019,0.023,0.098,-0.622,0.056,0.072,-0.958,-1.665,-0.256,1.409,48665.938,21775.605,31502.289,0.371,0.109,0.365,0.035,0.490,0
2012420,Ulysses,20,KS,124,62,0.014,-0.230,0.021,0.025,0.041,-0.720,0.060,0.078,0.222,-0.625,0.887,1.512,53094.930,16916.809,39746.242,0.552,0.005,0.645,0.018,0.332,0
2012450,Uniontown,20,KS,43,21,0.026,-0.237,0.040,0.046,0.070,-0.735,0.116,0.146,-0.369,-0.754,-0.027,0.727,62833.145,21369.314,29192.709,0.190,0.015,0.017,0.010,0.959,0
2012510,Valley Center Pub Sch,20,KS,204,102,0.061,-0.209,0.019,0.022,0.177,-0.649,0.055,0.070,0.728,0.046,1.384,1.339,59892.629,26654.723,42320.492,0.517,0.016,0.091,0.018,0.875,0
2012630,Wakeeney,20,KS,41,21,0.020,-0.249,0.041,0.047,0.056,-0.770,0.118,0.148,-0.233,-0.962,0.503,1.465,71999.195,16103.074,31076.709,0.665,0.012,0.020,0.011,0.957,0
